filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
ca_median;gaussian;0_5;6;0,35;0,68;0,6636;0,6596;0,3769;0,6263;0,5679;0,5433;0,6172;0,5685;0,5927;0,5299;0,5554;0,5307
ca_median;gaussian;0_5;7;0,3449;0,7056;0,6833;0,667;0,3728;0,63;0,5643;0,537;0,6125;0,5676;0,5963;0,5276;0,5445;0,5172
ca_median;gaussian;0_5;8;0,3411;0,7249;0,698;0,6693;0,3668;0,6336;0,562;0,5321;0,608;0,5661;0,5984;0,5259;0,5359;0,5066
ca_median;gaussian;0_5;9;0,3361;0,7398;0,7093;0,6711;0,3625;0,6338;0,5575;0,5262;0,6022;0,563;0,5987;0,5228;0,5265;0,4953
ca_median;gaussian;0_5;10;0,3328;0,7513;0,7181;0,6706;0,3588;0,6343;0,5542;0,5215;0,5961;0,56;0,5983;0,5202;0,5187;0,4862
ca_median;gaussian;0_9;1;0,1635;0,0588;0,06;0,1778;0,1589;0,1711;0,1853;0,1952;0,1809;0,121;0,1086;0,1418;0,2129;0,2113
ca_median;gaussian;0_9;2;0,2133;0,1343;0,128;0,2625;0,2192;0,2638;0,2792;0,2822;0,2926;0,2187;0,2048;0,2389;0,3167;0,3148
ca_median;gaussian;0_9;3;0,2345;0,21;0,1907;0,3223;0,2447;0,3093;0,315;0,3179;0,349;0,2748;0,2673;0,28;0,3528;0,3437
ca_median;gaussian;0_9;4;0,2473;0,2763;0,2422;0,3655;0,2603;0,3515;0,3504;0,3467;0,3897;0,3202;0,3184;0,32;0,3815;0,3689
ca_median;gaussian;0_9;5;0,2536;0,3335;0,2844;0,3981;0,268;0,3793;0,3694;0,3624;0,4135;0,3495;0,3537;0,3414;0,3932;0,3759
ca_median;gaussian;0_9;6;0,2571;0,383;0,3196;0,4235;0,2728;0,4052;0,3877;0,3759;0,4317;0,374;0,3832;0,3624;0,4035;0,3831
ca_median;gaussian;0_9;7;0,2585;0,4255;0,3488;0,4435;0,2751;0,4243;0,399;0,3843;0,443;0,3916;0,4056;0,3756;0,4078;0,3843
ca_median;gaussian;0_9;8;0,259;0,4618;0,3732;0,4594;0,2766;0,4416;0,4095;0,3915;0,4514;0,4062;0,4242;0,3877;0,4112;0,3858
ca_median;gaussian;0_9;9;0,2584;0,493;0,3936;0,4735;0,2768;0,4549;0,4165;0,3963;0,4569;0,4172;0,4386;0,3961;0,4123;0,3847
ca_median;gaussian;0_9;10;0,2577;0,52;0,411;0,4839;0,277;0,4668;0,4229;0,4006;0,4606;0,4265;0,4509;0,4039;0,4131;0,3839
ca;salt_pepper;0_5;1;0,091;0,0323;0,029;0,1131;0,0934;0,126;0,1416;0,1399;0,114;0,0802;0,0723;0,1029;0,15;0,1529
ca;salt_pepper;0_5;2;0,1754;0,1289;0,1114;0,257;0,1969;0,2718;0,2869;0,3006;0,2929;0,2266;0,2109;0,2464;0,3259;0,3334
ca;salt_pepper;0_5;3;0,2367;0,2616;0,2158;0,3747;0,2726;0,3875;0,3925;0,4129;0,4393;0,3681;0,3624;0,3719;0,4562;0,4611
ca;salt_pepper;0_5;4;0,2673;0,3624;0,2997;0,4485;0,3088;0,4529;0,4468;0,4663;0,5133;0,447;0,4538;0,4357;0,5162;0,5155
